dataset,model,seed,epochs,batch_size,lr,weight_decay,momentum,test_acc,test_loss,checkpoint_path
cifar10,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.7007,1.116307307624817,./outputs\cifar10_efficientnetv2_s_e50_bs64.pth
cifar10,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.7179,1.0294189929008484,./outputs\cifar10_mobilenetv3_small_e50_bs64.pth
cifar10,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.7219,0.9772142937660218,./outputs\cifar10_shufflenetv2_0_5_e50_bs64.pth
cifar10-c,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.6145736842105263,1.4202228362434788,./outputs\cifar10-c_efficientnetv2_s_e50_bs64.pth
cifar10-c,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.6285631578947368,1.3266043659310591,./outputs\cifar10-c_mobilenetv3_small_e50_bs64.pth
cifar10-c,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.598121052631579,1.42364365818626,./outputs\cifar10-c_shufflenetv2_0_5_e50_bs64.pth
cifar100,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.3222,2.948147755050659,./outputs\cifar100_efficientnetv2_s_e50_bs64.pth
cifar100,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.43,2.318538468551636,./outputs\cifar100_mobilenetv3_small_e50_bs64.pth
cifar100,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.4329,2.323670304107666,./outputs\cifar100_shufflenetv2_0_5_e50_bs64.pth
cifar100-c,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.25682105263157895,3.376700360408582,./outputs\cifar100-c_efficientnetv2_s_e50_bs64.pth
cifar100-c,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.32236315789473685,2.8730885762867175,./outputs\cifar100-c_mobilenetv3_small_e50_bs64.pth
cifar100-c,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.29812105263157895,3.079716190077129,./outputs\cifar100-c_shufflenetv2_0_5_e50_bs64.pth
tinyimagenet,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.2758,3.359251319885254,./outputs\tinyimagenet_efficientnetv2_s_e50_bs64.pth
tinyimagenet,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.3651,2.7360401012420654,./outputs\tinyimagenet_mobilenetv3_small_e50_bs64.pth
tinyimagenet,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.3331,2.9568953720092774,./outputs\tinyimagenet_shufflenetv2_0_5_e50_bs64.pth
tinyimagenet-c,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.09843333333333333,5.054373860967,./outputs\tinyimagenet-c_efficientnetv2_s_e50_bs64.pth
tinyimagenet-c,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.12689733333333333,4.574265942123413,./outputs\tinyimagenet-c_mobilenetv3_small_e50_bs64.pth
tinyimagenet-c,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.09590666666666667,4.963702599756877,./outputs\tinyimagenet-c_shufflenetv2_0_5_e50_bs64.pth
